country,factor,proxy,lag,nobs,beta,t,p,r2
US,F1,sq,0,480,1.2235537749858754,4.986162455164814,6.159036266088984e-07,0.09372163232432051
US,F1,sq,1,480,1.0443014273624325,5.5456931506890035,2.9279191506440455e-08,0.0682727748969294
US,F1,garch,0,480,2.6000694965781874,3.1163524875686854,0.001831032625284168,0.1000753650163253
US,F1,garch,1,480,2.312641522340999,2.629168100259887,0.008559403868023506,0.07926123452496658
US,F1,vix,0,168,0.024787014240733315,1.747229888325412,0.08059746919337184,0.050088309216969384
US,F1,vix,1,167,0.031472257739378645,2.2218695755809654,0.026292121046698046,0.08061666040377424
US,F2,sq,0,480,-0.11960889001168062,-0.35962113681241503,0.7191304748070091,0.0008942689155508887
US,F2,sq,1,480,-0.15694732762151983,-0.44130826178334753,0.6589898458019705,0.0015397533428531673
US,F2,garch,0,480,0.06441091838565366,0.06776357954379943,0.9459738364056883,6.132304995720705e-05
US,F2,garch,1,480,0.17839930661526582,0.1860782439851321,0.8523834027292716,0.0004709534819603567
US,F2,vix,0,168,-0.011286203472308787,-1.058649219925009,0.2897595621903687,0.016141035181439833
US,F2,vix,1,167,-0.000437147634035882,-0.03827211132193126,0.9694707264306119,2.5462596774605828e-05
US,F3,sq,0,480,-0.05367288761295355,-0.27236872165102943,0.7853385203707017,0.0002538462123770069
US,F3,sq,1,480,-0.11978595684400722,-0.9197932090751615,0.357680832779783,0.0012643714142365203
US,F3,garch,0,480,-0.2829529355890944,-1.0004755618241328,0.31708041850850277,0.0016682176912533597
US,F3,garch,1,480,-0.24760625499784855,-0.8670719632147051,0.3859025812295038,0.0012788937408557688
US,F3,vix,0,168,-0.0011240066545239059,-0.154247787363744,0.8774143641520177,5.291295808795837e-05
US,F3,vix,1,167,-0.008920400993086094,-0.9051723783834593,0.36537407264488053,0.0034584287244247003
US,F4,sq,0,480,0.09418175504202403,0.31360804623032096,0.7538187476337832,0.0005664650793133497
US,F4,sq,1,480,-0.47163588204101825,-1.851453957369684,0.06410427273956698,0.014205461641463302
US,F4,garch,0,480,-1.9057056619630752,-2.7034300298469867,0.006862789520012746,0.05484218904336269
US,F4,garch,1,480,-1.8896527812957726,-2.7692500353182576,0.005618549873437118,0.05398263495962474
US,F4,vix,0,168,0.032337070899095016,3.4446421902802693,0.0005718157907648338,0.06897938382771562
