spec,n,spearman_rho,spearman_p,kendall_tau,kendall_p
US: F1 vs sq(y10),480,0.2045809131337498,6.232852829151867e-06,0.14105288433478125,4.432983222866603e-06
US: F1 vs garch(y10),480,0.234130899005638,2.120343788687537e-07,0.15518441196938063,3.747627896512322e-07
US: F1 vs VIX,168,0.19604577826595335,0.010870456347134998,0.12845737097234106,0.013446114510576352
DE: F1 vs sq(y10),211,0.06019340580728402,0.38432507987101483,0.03940419769803656,0.3944905404293495
DE: F1 vs garch(y10),211,0.25553965841008675,0.00017517079993168615,0.17878582712705937,0.00011179276726575099
