metric,nobs,corr_contemp,corr_lag_vol
"US corr(F1, sq)",480,0.30613989012266957,0.2612905947349215
"US corr(F1, garch)",480,0.31634690612731675,0.28153371827361334
"US corr(F1, VIX)",168,0.2238041760489948,0.28393073170013533
"DE corr(F1, sq)",211,0.06523380552803074,0.12815249091791125
"DE corr(F1, garch)",211,0.259027885548068,0.25847597705812075
