date,de_vdax,de_vstoxx
2001-05-31,19.255333333333333,
2001-06-30,19.767142857142858,
2001-07-31,21.418636363636363,
2001-08-31,22.173478260869565,
2001-09-30,36.551,
2001-10-31,35.69304347826087,
2001-11-30,30.320909090909087,
2001-12-31,27.03235294117647,
2002-01-31,25.639090909090907,
2002-02-28,25.291,
2002-03-31,21.5935,
2002-04-30,21.867142857142856,
2002-05-31,23.59363636363636,
2002-06-30,29.748,
2002-07-31,41.802173913043475,
2002-08-31,42.94954545454545,
2002-09-30,49.292857142857144,
2002-10-31,50.02173913043478,
2002-11-30,40.653333333333336,
2002-12-31,41.07388888888889,
2003-01-31,44.12181818181818,
2003-02-28,43.8305,
2003-03-31,45.53380952380952,
2003-04-30,37.466,
2003-05-31,32.45238095238095,
2003-06-30,28.64714285714286,
2003-07-31,26.317391304347826,
2003-08-31,25.66095238095238,
2003-09-30,26.546818181818182,
2003-10-31,26.50304347826087,
2003-11-30,23.946,
2003-12-31,22.049473684210525,
2004-01-31,19.56904761904762,
2004-02-29,19.125,
2004-03-31,22.05217391304348,
2004-04-30,19.8445,
2004-05-31,22.736666666666665,
2004-06-30,18.87590909090909,
2004-07-31,18.87318181818182,
2004-08-31,19.87363636363636,
2004-09-30,16.91318181818182,
2004-10-31,17.361904761904764,
2004-11-30,15.187272727272727,
2004-12-31,14.42047619047619,
2005-01-31,13.710952380952381,
2005-02-28,11.764,
2005-03-31,12.066666666666666,
2005-04-30,13.49952380952381,
2005-05-31,12.643636363636363,
2005-06-30,11.667272727272728,
2005-07-31,12.063333333333334,
2005-08-31,14.059565217391304,
2005-09-30,14.836363636363636,
2005-10-31,16.878571428571426,
2005-11-30,14.541818181818183,
2005-12-31,13.010952380952382,
2006-01-31,14.158636363636363,
2006-02-28,15.2245,
2006-03-31,14.588695652173914,
2006-04-30,14.600000000000001,
2006-05-31,17.791818181818183,
2006-06-30,21.28909090909091,
2006-07-31,18.81809523809524,
2006-08-31,17.547826086956523,
2006-09-30,16.054285714285715,
2006-10-31,14.565,
2006-11-30,13.080909090909092,
